query_num,try,execution_time
1,1,0.003
1,2,0.001
1,3,0.001
2,1,0.053
2,2,0.005
2,3,0.005
3,1,0.079
3,2,0.012
3,3,0.012
4,1,3.015
4,2,2.938
4,3,2.959
5,1,0.860
5,2,0.611
5,3,0.604
6,1,2.161
6,2,1.867
6,3,1.871
7,1,0.092
7,2,0.003
7,3,0.005
8,1,0.077
8,2,0.023
8,3,0.021
9,1,1.047
9,2,0.932
9,3,0.928
10,1,1.888
10,2,1.790
10,3,1.786
11,1,0.403
11,2,0.281
11,3,0.282
12,1,0.456
12,2,0.354
12,3,0.350
13,1,0.598
13,2,0.423
13,3,0.410
14,1,0.767
14,2,0.515
14,3,0.513
15,1,0.642
15,2,0.458
15,3,0.461
16,1,0.709
16,2,0.539
16,3,0.545
17,1,1.681
17,2,1.370
17,3,1.384
18,1,1.832
18,2,1.220
18,3,1.237
19,1,3.946
19,2,3.329
19,3,3.344
20,1,0.134
20,2,0.005
20,3,0.005
21,1,2.006
21,2,1.664
21,3,1.681
22,1,1.707
22,2,1.032
22,3,1.025
23,1,3.915
23,2,2.092
23,3,2.034
24,1,2.487
24,2,1.870
24,3,1.801
25,1,0.584
25,2,0.221
25,3,0.220
26,1,0.322
26,2,0.049
26,3,0.045
27,1,0.661
27,2,0.083
27,3,0.078
28,1,1.559
28,2,1.058
28,3,1.048
29,1,10.043
29,2,9.691
29,3,9.702
30,1,0.398
30,2,0.052
30,3,0.052
31,1,0.466
31,2,0.322
31,3,0.322
32,1,1.020
32,2,0.435
32,3,0.433
33,1,3.625
33,2,3.181
33,3,3.172
34,1,3.031
34,2,2.570
34,3,2.548
35,1,2.967
35,2,2.557
35,3,2.560
36,1,0.672
36,2,0.477
36,3,0.481
37,1,0.172
37,2,0.109
37,3,0.108
38,1,0.128
38,2,0.070
38,3,0.069
39,1,0.176
39,2,0.112
39,3,0.112
40,1,1.199
40,2,0.715
40,3,0.718
41,1,0.077
41,2,0.010
41,3,0.009
42,1,0.061
42,2,0.014
42,3,0.012
43,1,0.231
43,2,0.076
43,3,0.075
