query_num,try,execution_time
1,1,0.004
1,2,0.002
1,3,0.001
2,1,0.063
2,2,0.041
2,3,0.038
3,1,0.123
3,2,0.104
3,3,0.100
4,1,0.216
4,2,0.294
4,3,0.362
5,1,0.780
5,2,0.701
5,3,0.690
6,1,1.587
6,2,1.486
6,3,1.544
7,1,0.003
7,2,0.001
7,3,0.001
8,1,0.112
8,2,0.083
8,3,0.083
9,1,0.820
9,2,0.793
9,3,0.760
10,1,1.336
10,2,1.304
10,3,1.305
11,1,0.369
11,2,0.329
11,3,0.326
12,1,0.300
12,2,0.263
12,3,0.260
13,1,0.626
13,2,0.609
13,3,0.580
14,1,0.829
14,2,0.724
14,3,0.752
15,1,0.689
15,2,0.612
15,3,0.653
16,1,0.741
16,2,0.726
16,3,0.712
17,1,1.657
17,2,1.556
17,3,1.539
18,1,1.094
18,2,1.055
18,3,1.041
19,1,3.094
19,2,2.823
19,3,2.750
20,1,0.169
20,2,0.152
20,3,0.252
21,1,1.503
21,2,1.484
21,3,1.381
22,1,0.954
22,2,0.848
22,3,0.815
23,1,2.099
23,2,1.944
23,3,1.926
24,1,1.935
24,2,1.710
24,3,1.580
25,1,0.479
25,2,0.404
25,3,0.388
26,1,0.243
26,2,0.221
26,3,0.207
27,1,0.391
27,2,0.418
27,3,0.430
28,1,1.193
28,2,1.071
28,3,1.049
29,1,6.768
29,2,6.695
29,3,6.652
30,1,0.240
30,2,0.152
30,3,0.139
31,1,0.473
31,2,0.410
31,3,0.409
32,1,0.778
32,2,0.667
32,3,0.630
33,1,3.474
33,2,3.312
33,3,3.314
34,1,3.207
34,2,2.945
34,3,2.974
35,1,3.203
35,2,3.004
35,3,2.980
36,1,0.646
36,2,0.577
36,3,0.593
37,1,0.122
37,2,0.055
37,3,0.056
38,1,0.090
38,2,0.043
38,3,0.043
39,1,0.071
39,2,0.011
39,3,0.011
40,1,0.331
40,2,0.135
40,3,0.136
41,1,0.061
41,2,0.012
41,3,0.011
42,1,0.047
42,2,0.014
42,3,0.015
43,1,0.106
43,2,0.047
43,3,0.047
