query_num,try,execution_time
1,1,0.108
1,2,0.085
1,3,0.082
2,1,0.305
2,2,0.102
2,3,0.088
3,1,0.352
3,2,0.261
3,3,0.253
4,1,0.751
4,2,0.153
4,3,0.151
5,1,0.922
5,2,0.759
5,3,0.792
6,1,3.237
6,2,3.043
6,3,3.050
7,1,0.206
7,2,0.139
7,3,0.138
8,1,0.471
8,2,0.165
8,3,0.162
9,1,2.408
9,2,2.146
9,3,2.151
10,1,4.205
10,2,3.945
10,3,3.946
11,1,0.926
11,2,0.555
11,3,0.538
12,1,1.104
12,2,0.678
12,3,0.671
13,1,1.466
13,2,1.099
13,3,1.089
14,1,1.747
14,2,1.259
14,3,1.260
15,1,1.626
15,2,1.215
15,3,1.213
16,1,1.310
16,2,1.033
16,3,1.028
17,1,3.267
17,2,2.909
17,3,2.910
18,1,2.300
18,2,1.447
18,3,1.430
19,1,5.141
19,2,4.682
19,3,4.626
20,1,0.503
20,2,0.121
20,3,0.098
21,1,2.565
21,2,2.361
21,3,2.341
22,1,2.200
22,2,1.429
22,3,1.468
23,1,4.085
23,2,2.635
23,3,2.570
24,1,3.227
24,2,2.695
24,3,2.664
25,1,1.144
25,2,0.564
25,3,0.529
26,1,0.727
26,2,0.235
26,3,0.237
27,1,0.951
27,2,0.262
27,3,0.251
28,1,4.918
28,2,4.300
28,3,4.303
29,1,13.183
29,2,12.651
29,3,12.689
30,1,0.841
30,2,0.275
30,3,0.269
31,1,1.172
31,2,0.778
31,3,0.772
32,1,1.847
32,2,0.975
32,3,0.966
33,1,6.904
33,2,5.872
33,3,5.873
34,1,7.201
34,2,6.839
34,3,6.850
35,1,7.268
35,2,6.844
35,3,6.821
36,1,1.263
36,2,0.934
36,3,0.936
37,1,0.999
37,2,0.692
37,3,0.699
38,1,0.761
38,2,0.449
38,3,0.450
39,1,0.713
39,2,0.404
39,3,0.410
40,1,2.139
40,2,1.062
40,3,1.074
41,1,0.731
41,2,0.355
41,3,0.359
42,1,0.711
42,2,0.367
42,3,0.364
43,1,0.753
43,2,0.465
43,3,0.449
